RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source,INDICATOR_DESCRIPTION: Indicator description,INDICATOR: Indicator,REF_AREA: Reference area,CROP: Crop,FREQ: Frequency,UNIT_MEASURE: Unit of measure,TIME_PERIOD: Time period,OBS_VALUE: Observation value,
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,_T: Total,A: Annual,N_HO: Number of holdings,2020,1920000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,101: Non-aromatic paddy,A: Annual,N_HO: Number of holdings,2020,1247000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,102: Aromatic paddy,A: Annual,N_HO: Number of holdings,2020,316000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,103: Sticky paddy,A: Annual,N_HO: Number of holdings,2020,26000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,105: Maize,A: Annual,N_HO: Number of holdings,2020,51000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,203: Cassava,A: Annual,N_HO: Number of holdings,2020,205000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,302: Mungbean,A: Annual,N_HO: Number of holdings,2020,11000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,402: Soybean,A: Annual,N_HO: Number of holdings,2020,8000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,403: Sesame,A: Annual,N_HO: Number of holdings,2020,7000.00
"NIS_MAFF: National Institute of Statistics, Ministry of Planning, and Ministry of Agriculture, Forestry and Fisheries",AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,AG_HO_CULTIVATING_CROPS: Agricultural holdings cultivating crops,ASIKHM: Cambodia,441: Sugarcane,A: Annual,N_HO: Number of holdings,2020,59000.00
